model_name,params,LPIPS,SSIM,PSNR,Loss,FPS 720p,VRAM (MB) 720p,FPS 480p,VRAM (MB) 480p
SR_RFDN_4_256,10981207,0.0960,0.8800,29.9178,0.0211,,,9.48,142
SR_RFDN_4_256_ESRGAN,10981207,0.0630,0.8603,29.1623,0.0234,,,9.55,206
SR_RFDN_4_256_GAN,10981207,0.0489,0.8506,28.8121,0.0246,,,9.60,236
SR_RFDN_4_48,419175,0.1018,0.8724,29.4028,0.0223,,,62.98,84
SR_RFDN_jpeg_2_128,1525591,0.1485,0.8503,28.1618,0.0256,,,50.44,86
SR_RFDN_jpeg_2_128_GAN,1525591,0.1133,0.7981,26.2595,0.0340,,,50.44,96
SR_RFDN_jpeg_2_256,5889623,0.1456,0.8524,28.1614,0.0256,,,18.21,120
SR_RFDN_jpeg_2_256_GAN,5889623,0.0986,0.8006,26.3628,0.0331,,,18.17,170
SR_RFDN_jpeg_4_128,2799575,0.1893,0.8236,27.5986,0.0275,,,27.08,140
nearest,0,0.1480,0.8117,26.4334,0.0289,4763.98,128,6086.73,82
bilinear,0,0.2338,0.8040,27.0414,0.0285,1623.27,128,4068.31,82
bicubic,0,0.1878,0.8346,27.8829,0.0259,1448.61,128,3050.80,82
lanczos,0,0.2054,0.8443,28.2163,0.0251,,,,
SR_FastEDSR_4_256,4928343,0.1025,0.8775,29.7363,0.0214,,,28.69,106
SR_FastEDSR_6_256,7288663,0.0964,0.8781,29.7809,0.0213,,,19.21,126
