model_name,params,runtype,720p,480p,720p (128x128),480p (128x128),720p (256x256),480p (256x256)
SR_FastEDSR_4_16,31623,tensorrt,,348.17,,,,
SR_FastEDSR_4_32,100023,tensorrt,,218.56,,,,
SR_FastEDSR_4_64,347415,tensorrt,,88.09,,,,
SR_FastEDSR_4_8,11247,tensorrt,,422.02,,,,
SR_FastEDSR_jpeg_2_16_s,22343,tensorrt,,377.03,,,,
SR_FastEDSR_jpeg_2_64,199703,tensorrt,,144.51,,,,
SR_FastEDSR_jpeg_2_8_s,8911,tensorrt,,475.77,,,,
SR_FastEDSR_jpeg_4_128,1284567,tensorrt,,28.81,,,,
SR_FastEDSR_jpeg_4_128_s,1284567,tensorrt,,29.23,,,,
SR_FastEDSR_jpeg_4_256,4928343,tensorrt,,8.11,,,,
SR_FastEDSR_jpeg_4_256_GAN,4928343,tensorrt,,8.04,,,,
SR_FastEDSR_jpeg_4_32,100023,tensorrt,,222.75,,,,
SR_FastEDSR_jpeg_4_32_s,100023,tensorrt,,225.56,,,,
SR_FastEDSR_jpeg_4_32_s_384,100023,tensorrt,,221.52,,,,
SR_FastEDSR_jpeg_4_32_sharp5_1_03,100023,tensorrt,,222.55,,,,
SR_FastEDSR_jpeg_4_32_sharp5_1_1,100023,tensorrt,,211.41,,,,
SR_FastEDSR_jpeg_4_48,205287,tensorrt,,119.68,,,,
SR_FastEDSR_jpeg_4_64,347415,tensorrt,,92.24,,,,
SR_FastEDSR_jpeg_4_64_ESRGAN,347415,tensorrt,,93.57,,,,
SR_FastEDSR_jpeg_4_64_fft,347415,tensorrt,,90.56,,,,
SR_FastEDSR_jpeg_4_64_fft_log,347415,tensorrt,,93.42,,,,
SR_FastEDSR_jpeg_4_64_GAN,347415,tensorrt,,93.28,,,,
SR_FastEDSR_jpeg_4_64_perc,347415,tensorrt,,93.87,,,,
SR_FastEDSR_jpeg_4_64_s,347415,tensorrt,,92.22,,,,
SR_FastEDSR_jpeg_6_32,137015,tensorrt,,171.84,,,,
SR_IMDN_2_48,181605,tensorrt,,61.07,,,,
SR_IMDN_2_96,647091,tensorrt,,28.97,,,,
SR_RFDN_1_128,888599,tensorrt,,30.22,,,,
SR_RFDN_2_48,239511,tensorrt,,55.92,,,,
SR_RFDN_2_96,878103,tensorrt,,24.42,,,,
SR_RFDN_2_96_GAN,878103,tensorrt,,23.77,,,,
SR_RFDN_4_128,2799575,tensorrt,,9.32,,,,
SR_RFDN_4_16,55687,tensorrt,,120.52,,,,
SR_RFDN_4_256,10981207,tensorrt,,3.11,,,,
SR_RFDN_4_256_ESRGAN,10981207,tensorrt,,3.11,,,,
SR_RFDN_4_256_GAN,10981207,tensorrt,,3.09,,,,
SR_RFDN_4_48,419175,tensorrt,,32.82,,,,
SR_FastEDSR_4_256,4928343,tensorrt,,7.99,,,,
SR_FastEDSR_6_256,7288663,tensorrt,,5.39,,,,
