model_name,params,runtype,480p decode,480p sr,480p e2e,480p full
SR_EDSR_2x_2_32,84995,tensorrt,1655.88,186.92,308.18,197.47
SR_EDSR_2x_2_48,189699,tensorrt,1697.06,224.61,194.94,138.64
SR_EDSR_2x_2_52,222355,tensorrt,1494.97,163.49,146.78,107.36
SR_EDSR_2x_2_96,752643,tensorrt,1664.99,97.12,91.99,74.19
SR_EDSR_2x_32_256_r,40729603,tensorrt,1786.80,3.15,3.14,3.11
SR_EDSR_2x_4_256,7685123,tensorrt,1855.82,15.33,14.84,14.67
SR_EDSR_2x_4_32,121987,tensorrt,1858.93,344.07,277.68,150.87
SR_EDSR_2x_4_52,319907,tensorrt,1848.61,129.78,119.08,85.89
SR_EDSR_2x_6_12,22899,tensorrt,1853.23,588.81,419.04,176.66
SR_FastEDSR_2x_1_128,312588,tensorrt,1825.76,271.02,228.47,131.79
SR_FastEDSR_2x_1_16,6828,tensorrt,1833.62,1029.17,590.16,201.82
SR_FastEDSR_2x_1_32,22860,tensorrt,1827.59,850.88,542.29,188.93
SR_FastEDSR_2x_1_4,852,tensorrt,1837.31,1118.42,613.39,211.01
SR_FastEDSR_2x_1_64,82572,tensorrt,1815.11,518.97,388.18,169.02
SR_FastEDSR_2x_1_8,2268,tensorrt,1835.53,1092.21,591.44,132.20
SR_FastEDSR_2x_2_128,607756,tensorrt,1848.25,166.25,149.83,76.15
SR_FastEDSR_2x_2_16,11468,tensorrt,1828.90,920.85,542.68,185.65
SR_FastEDSR_2x_2_32,41356,tensorrt,1870.08,695.26,479.63,170.84
SR_FastEDSR_2x_2_4,1148,tensorrt,1841.22,1049.47,588.81,182.29
SR_FastEDSR_2x_2_64,156428,tensorrt,1853.18,367.84,287.54,100.70
SR_FastEDSR_2x_2_8,3436,tensorrt,1810.02,992.24,570.85,175.70
SR_FastEDSR_2x_4_128,1198092,tensorrt,1855.46,90.21,85.49,64.61
SR_FastEDSR_2x_4_16,20748,tensorrt,1796.74,778.32,503.50,161.63
SR_FastEDSR_2x_4_32,78348,tensorrt,1818.51,526.32,389.99,146.04
SR_FastEDSR_2x_4_64,304140,tensorrt,1829.38,229.82,199.88,105.70
SR_FastEDSR_2x_4_8,5772,tensorrt,1815.97,898.89,549.03,154.83
SR_FastEDSR_2x_8_16,39308,tensorrt,1866.53,596.68,428.34,144.08
SR_IMDN_2x_1_128,596916,tensorrt,1807.33,102.89,95.86,64.86
SR_IMDN_2x_1_256,2350940,tensorrt,1491.21,35.09,32.65,28.22
SR_IMDN_2x_1_48,88251,tensorrt,1833.44,232.13,211.74,158.43
SR_IMDN_2x_1_64,153824,tensorrt,1834.99,200.15,175.18,128.17
SR_IMDN_2x_1_96,339210,tensorrt,1797.08,116.58,107.97,82.02
SR_IMDN_2x_2_128,1028700,tensorrt,1674.95,51.45,54.53,46.02
SR_IMDN_2x_2_48,149130,tensorrt,1843.33,138.48,126.88,84.81
SR_IMDN_2x_2_96,582216,tensorrt,1774.58,63.38,60.56,47.46
SR_IMDN_2x_4_16,31808,tensorrt,1825.20,301.77,251.11,116.37
SR_IMDN_2x_4_256,7528268,tensorrt,1805.56,10.14,10.05,9.58
SR_IMDN_2x_5_16,38629,tensorrt,1814.14,250.41,212.80,91.45
SR_IMDN_2x_6_64,694404,tensorrt,1847.11,44.45,40.10,33.27
SR_RFDN_2x_1_128,802124,tensorrt,1796.10,83.86,79.16,50.21
SR_RFDN_2x_1_256,3170956,tensorrt,1812.85,28.95,29.85,24.45
SR_RFDN_2x_1_4,1363,tensorrt,1836.36,460.45,478.58,98.70
SR_RFDN_2x_1_48,117204,tensorrt,1844.70,187.18,164.68,67.40
SR_RFDN_2x_1_64,205228,tensorrt,1834.41,181.40,160.58,64.25
SR_RFDN_2x_1_96,454716,tensorrt,1821.21,105.34,97.86,48.97
SR_RFDN_2x_2_128,1439116,tensorrt,1844.00,46.38,44.88,28.41
SR_RFDN_2x_2_16,24668,tensorrt,1885.15,359.91,285.71,67.64
SR_RFDN_2x_2_256,5716748,tensorrt,1796.20,16.74,16.21,14.03
SR_RFDN_2x_2_48,207036,tensorrt,1786.70,104.00,97.07,42.57
SR_RFDN_2x_2_52,242306,tensorrt,1838.13,81.74,77.22,38.10
SR_RFDN_2x_2_64,364748,tensorrt,1807.42,106.86,99.28,41.44
SR_RFDN_2x_2_96,813228,tensorrt,1830.60,58.04,51.25,30.52
SR_RFDN_2x_4_128,2713100,tensorrt,1811.69,25.02,24.55,17.83
SR_RFDN_2x_4_16,44812,tensorrt,1485.19,233.72,195.04,42.32
SR_RFDN_2x_4_256,10808332,tensorrt,1773.75,8.97,8.90,8.79
SR_RFDN_2x_4_48,386700,tensorrt,1830.33,56.89,54.67,48.34
SR_RFDN_2x_4_52,453088,tensorrt,1800.22,40.86,41.08,36.82
SR_RFDN_2x_4_96,1530252,tensorrt,1806.64,31.04,28.98,27.28
SR_RFDN_2x_6_48,566364,tensorrt,1816.27,39.19,38.15,32.90
SR_RFDN_2x_6_52,663870,tensorrt,1835.78,29.33,28.70,24.05
SR_RFDN_2x_6_64,1002828,tensorrt,1841.12,37.87,38.06,30.89
SR_SRCNN_2x,20099,tensorrt,1833.02,295.92,250.77,105.36
SR_VDSR_2x_18_64,668227,tensorrt,1855.18,35.58,34.85,29.84
SR_EDSR_2_52,832055,tensorrt,1810.62,164.15,147.51,79.49
SR_EDSR_4_52,929607,tensorrt,1823.85,129.93,119.50,64.31
SR_FastEDSR_2_128,694231,tensorrt,1762.01,162.45,102.92,65.97
SR_FastEDSR_2_16,22343,tensorrt,1875.34,921.60,567.91,123.57
SR_FastEDSR_2_32,63031,tensorrt,1771.67,710.95,445.11,100.59
SR_FastEDSR_2_4,3923,tensorrt,1765.19,1017.37,583.15,124.05
SR_FastEDSR_2_64,199703,tensorrt,1802.71,355.12,291.38,98.38
SR_FastEDSR_2_8,8911,tensorrt,1473.96,908.50,556.62,113.77
SR_FastEDSR_4_16,31623,tensorrt,1573.57,678.39,472.18,105.84
SR_FastEDSR_4_256,4928343,tensorrt,1497.55,26.06,24.50,22.08
SR_FastEDSR_4_64,347415,tensorrt,1421.53,222.44,190.88,74.64
SR_FastEDSR_4_8,11247,tensorrt,1811.56,877.60,561.90,106.89
SR_FastEDSR_6_256,7288663,tensorrt,1810.88,18.10,18.03,16.15
SR_FastEDSR_jpeg_4_48,205287,tensorrt,1683.39,210.75,234.10,70.12
SR_FastEDSR_jpeg_6_32,137015,tensorrt,1761.43,410.86,320.89,67.75
SR_IMDN_2_48,181605,tensorrt,1755.83,138.97,125.72,52.46
SR_EDSR_2x_0_32,48003,ncnn-vulkan,1749.26,26.90,24.33,25.43
SR_EDSR_2x_16_64,1369859,ncnn-vulkan,1522.81,10.51,10.71,10.36
SR_EDSR_2x_1_128,1040131,ncnn-vulkan,1481.13,16.62,16.36,16.04
SR_EDSR_2x_1_256,4144643,ncnn-vulkan,1563.04,11.77,12.05,12.02
SR_EDSR_2x_0_32,48003,tensorrt-nvdec,3572.99,748.20,603.04,391.32
SR_EDSR_2x_16_64,1369859,tensorrt-nvdec,3469.97,57.60,56.41,53.78
SR_EDSR_2x_1_128,1040131,tensorrt-nvdec,3775.41,88.42,85.75,80.70
SR_EDSR_2x_1_256,4144643,tensorrt-nvdec,2650.14,25.45,26.21,25.69
SR_EDSR_2x_1_32,66499,tensorrt-nvdec,3577.14,621.79,527.26,345.80
SR_EDSR_2x_2_128,1335299,tensorrt-nvdec,3416.21,68.74,71.06,56.70
SR_EDSR_2x_2_256,5324803,tensorrt-nvdec,3790.81,20.92,21.19,20.83
SR_EDSR_2x_2_32,84995,tensorrt-nvdec,3596.90,534.57,470.02,330.95
SR_EDSR_2x_2_48,189699,tensorrt-nvdec,3542.42,252.64,235.20,197.91
SR_EDSR_2x_2_52,222355,tensorrt-nvdec,3646.37,180.66,172.17,149.04
SR_EDSR_2x_2_96,752643,tensorrt-nvdec,3777.60,98.81,78.00,88.95
SR_EDSR_2x_32_256_r,40729603,tensorrt-nvdec,2978.55,3.12,3.12,3.11
SR_EDSR_2x_4_256,7685123,tensorrt-nvdec,3820.61,15.46,15.46,15.31
SR_EDSR_2x_4_32,121987,tensorrt-nvdec,3636.05,419.83,350.27,280.72
SR_EDSR_2x_4_52,319907,tensorrt-nvdec,3438.61,137.22,131.92,119.25
SR_EDSR_2x_6_12,22899,tensorrt-nvdec,3683.44,899.77,618.62,426.40
SR_FastEDSR_2x_1_128,312588,tensorrt-nvdec,3593.30,320.14,293.51,232.16
SR_FastEDSR_2x_1_16,6828,tensorrt-nvdec,2495.34,2421.78,1185.64,577.18
SR_FastEDSR_2x_1_32,22860,tensorrt-nvdec,2822.59,1753.91,1046.71,548.19
SR_FastEDSR_2x_1_4,852,tensorrt-nvdec,3440.60,3393.95,1571.45,576.20
SR_FastEDSR_4_32,100023,tensorrt-nvdec,3687.87,746.43,638.34,392.65
SR_FastEDSR_4_128,1284567,tensorrt-nvdec,3758.18,94.06,91.43,86.09
SR_IMDN_2_96,647091,tensorrt,1336.63,64.15,60.82,52.32
SR_RFDN_1_128,888599,tensorrt,1561.24,81.06,78.87,67.08
SR_RFDN_2_48,239511,tensorrt,1735.26,103.93,87.09,65.41
SR_RFDN_2_96,878103,tensorrt,1701.35,57.44,55.16,46.67
SR_RFDN_4_128,2799575,tensorrt,1672.99,24.64,23.83,21.99
SR_RFDN_4_16,55687,tensorrt,1577.59,209.13,206.37,98.66
SR_RFDN_4_256,10981207,tensorrt,1848.20,8.96,8.88,8.71
SR_RFDN_4_48,419175,tensorrt,1738.30,57.15,54.11,45.28
SR_RFDN_jpeg_2_128,1525591,tensorrt,1583.78,46.58,44.53,37.66
SR_RFDN_jpeg_2_256,5889623,tensorrt,1727.73,16.82,16.61,15.43
SR_IMDN_2x_4_52,317120,tensorrt,1851.30,65.58,62.51,46.40
SR_EDSR_2_52,832055,ncnn-vulkan,1800.64,21.48,19.92,20.96
SR_EDSR_4_52,929607,ncnn-vulkan,1484.62,18.91,17.55,17.03
SR_FastEDSR_2_4,3923,ncnn-vulkan,1101.38,24.71,24.49,23.72
SR_FastEDSR_2_8,8911,ncnn-vulkan,1373.46,24.76,24.69,23.69
SR_FastEDSR_2_16,22343,ncnn-vulkan,1480.97,25.26,27.36,26.24
SR_FastEDSR_2_32,63031,ncnn-vulkan,1587.77,25.13,26.40,25.17
SR_FastEDSR_2_64,199703,ncnn-vulkan,1417.72,23.12,24.27,23.36
SR_FastEDSR_2_128,694231,ncnn-vulkan,1637.81,21.34,21.11,19.53
SR_FastEDSR_4_8,11247,ncnn-vulkan,1570.40,28.66,28.14,26.66
SR_FastEDSR_4_16,31623,ncnn-vulkan,1594.78,24.99,24.44,25.73
SR_FastEDSR_jpeg_4_48,205287,ncnn-vulkan,1465.07,22.92,22.25,22.18
SR_FastEDSR_4_64,347415,ncnn-vulkan,1330.84,20.39,21.16,20.71
SR_FastEDSR_4_256,4928343,ncnn-vulkan,1602.97,11.33,11.13,11.02
SR_FastEDSR_jpeg_6_32,137015,ncnn-vulkan,1291.61,21.67,21.83,22.46
SR_FastEDSR_6_256,7288663,ncnn-vulkan,1607.03,8.84,8.84,8.79
SR_IMDN_2_48,181605,ncnn-vulkan,1500.10,20.22,19.67,18.61
SR_IMDN_2_96,647091,ncnn-vulkan,1169.69,15.18,15.72,15.07
SR_RFDN_1_128,888599,ncnn-vulkan,1556.22,17.03,17.50,17.44
SR_RFDN_2_48,239511,ncnn-vulkan,1475.24,20.60,20.51,19.00
SR_RFDN_2_96,878103,ncnn-vulkan,1538.37,15.27,15.58,15.03
SR_RFDN_jpeg_2_128,1525591,ncnn-vulkan,1494.57,13.78,13.50,13.39
SR_RFDN_jpeg_2_256,5889623,ncnn-vulkan,1544.78,8.26,8.40,8.30
SR_RFDN_4_16,55687,ncnn-vulkan,1547.53,23.95,22.46,23.56
SR_RFDN_4_48,419175,ncnn-vulkan,1439.93,16.76,16.15,16.31
SR_EDSR_2_52,832055,tensorrt-nvdec,3658.13,182.44,172.66,149.97
SR_EDSR_4_52,929607,tensorrt-nvdec,3390.51,139.16,134.07,120.46
SR_FastEDSR_2_4,3923,tensorrt-nvdec,3567.38,2878.81,1551.75,626.82
SR_FastEDSR_2_8,8911,tensorrt-nvdec,3795.99,2646.02,1571.92,629.14
SR_FastEDSR_2_16,22343,tensorrt-nvdec,3665.65,2057.56,1329.35,593.35
SR_FastEDSR_2_32,63031,tensorrt-nvdec,3724.67,1263.28,893.11,497.38
SR_FastEDSR_2_64,199703,tensorrt-nvdec,3625.17,469.30,422.36,307.52
SR_FastEDSR_2_128,694231,tensorrt-nvdec,3706.82,163.76,172.07,152.91
SR_FastEDSR_4_8,11247,tensorrt-nvdec,3667.05,2005.13,1261.97,578.50
SR_FastEDSR_4_16,31623,tensorrt-nvdec,3578.11,1560.90,1049.41,551.15
SR_FastEDSR_jpeg_4_48,205287,tensorrt-nvdec,3611.44,329.28,302.53,242.10
SR_FastEDSR_4_64,347415,tensorrt-nvdec,3533.88,261.39,244.12,187.20
SR_FastEDSR_4_256,4928343,tensorrt-nvdec,3599.49,27.12,26.77,25.99
SR_FastEDSR_jpeg_6_32,137015,tensorrt-nvdec,3612.51,551.31,482.81,334.64
SR_FastEDSR_6_256,7288663,tensorrt-nvdec,3641.38,18.55,18.30,18.13
SR_IMDN_2_48,181605,tensorrt-nvdec,3446.04,152.80,146.23,129.37
SR_IMDN_2_96,647091,tensorrt-nvdec,2967.90,66.16,62.72,61.21
SR_RFDN_1_128,888599,tensorrt-nvdec,3634.92,88.51,82.26,79.86
SR_RFDN_2_48,239511,tensorrt-nvdec,3409.06,111.94,108.59,98.60
SR_RFDN_2_96,878103,tensorrt-nvdec,3404.20,62.02,60.81,56.86
SR_RFDN_jpeg_2_128,1525591,tensorrt-nvdec,3038.61,48.13,47.84,45.83
SR_RFDN_jpeg_2_256,5889623,tensorrt-nvdec,3564.38,16.91,16.77,16.54
SR_RFDN_4_16,55687,tensorrt-nvdec,3169.82,297.02,270.34,219.16
SR_RFDN_4_48,419175,tensorrt-nvdec,3291.90,58.74,56.87,54.74
SR_RFDN_4_128,2799575,tensorrt-nvdec,3505.99,25.00,24.96,24.39
SR_RFDN_4_256,10981207,tensorrt-nvdec,3398.34,8.86,8.81,8.74
SR_FastEDSR_2x_1_8,2268,tensorrt-nvdec,3385.73,3210.31,1558.01,638.63
SR_FastEDSR_2x_1_64,82572,tensorrt-nvdec,3378.15,792.80,639.58,402.48
SR_FastEDSR_2x_2_4,1148,tensorrt-nvdec,3378.26,2840.24,1517.14,620.80
SR_FastEDSR_2x_2_8,3436,tensorrt-nvdec,3228.16,2654.08,1493.22,613.56
SR_FastEDSR_2x_2_16,11468,tensorrt-nvdec,3449.70,2174.85,1349.61,594.40
SR_FastEDSR_2x_2_32,41356,tensorrt-nvdec,3493.97,1280.31,904.66,497.40
SR_FastEDSR_2x_2_64,156428,tensorrt-nvdec,3292.13,468.47,414.10,303.07
SR_FastEDSR_2x_2_128,607756,tensorrt-nvdec,3413.47,180.61,170.60,150.80
SR_FastEDSR_2x_4_8,5772,tensorrt-nvdec,3412.06,1974.38,1230.29,589.93
SR_FastEDSR_2x_4_16,20748,tensorrt-nvdec,3328.78,1540.34,1025.06,542.29
SR_FastEDSR_2x_4_32,78348,tensorrt-nvdec,3099.45,758.45,616.07,379.34
SR_FastEDSR_2x_4_64,304140,tensorrt-nvdec,3098.64,254.07,234.75,196.38
SR_FastEDSR_2x_4_128,1198092,tensorrt-nvdec,3440.15,96.61,93.48,87.62
SR_FastEDSR_2x_8_16,39308,tensorrt-nvdec,3241.38,958.13,704.95,445.06
SR_IMDN_2x_1_48,88251,tensorrt-nvdec,3239.12,280.82,263.07,212.02
SR_IMDN_2x_1_64,153824,tensorrt-nvdec,3167.84,235.92,219.81,181.06
SR_IMDN_2x_1_96,339210,tensorrt-nvdec,3447.09,125.31,120.70,108.68
SR_EDSR_2_52,832055,tensorrt-nvdec-gl,3738.90,183.14,172.30,163.46
SR_EDSR_4_52,929607,tensorrt-nvdec-gl,3286.53,139.55,134.36,128.42
SR_FastEDSR_2_4,3923,tensorrt-nvdec-gl,3493.45,2696.89,1459.05,970.45
SR_FastEDSR_2_8,8911,tensorrt-nvdec-gl,3529.96,2463.50,1408.38,979.26
SR_FastEDSR_2_16,22343,tensorrt-nvdec-gl,3488.26,2087.67,1258.48,930.24
SR_FastEDSR_2_32,63031,tensorrt-nvdec-gl,3459.39,1166.11,923.53,729.79
SR_FastEDSR_2_64,199703,tensorrt-nvdec-gl,3249.14,455.97,419.46,368.92
SR_FastEDSR_2_128,694231,tensorrt-nvdec-gl,3569.78,181.00,172.91,163.86
SR_FastEDSR_4_8,11247,tensorrt-nvdec-gl,3641.73,1869.39,1204.28,887.21
SR_FastEDSR_4_16,31623,tensorrt-nvdec-gl,2848.27,1434.81,1027.90,665.76
SR_FastEDSR_4_32,100023,tensorrt-nvdec-gl,3203.24,740.54,592.59,506.75
SR_FastEDSR_jpeg_4_48,205287,tensorrt-nvdec-gl,2801.35,325.03,298.94,270.28
SR_FastEDSR_4_64,347415,tensorrt-nvdec-gl,3124.62,257.58,240.55,223.98
SR_FastEDSR_4_128,1284567,tensorrt-nvdec-gl,3734.77,96.95,93.47,81.98
SR_FastEDSR_4_256,4928343,tensorrt-nvdec-gl,3180.04,27.04,26.79,26.54
SR_FastEDSR_jpeg_6_32,137015,tensorrt-nvdec-gl,3445.27,540.86,478.70,412.53
SR_FastEDSR_6_256,7288663,tensorrt-nvdec-gl,3187.74,18.42,18.33,18.21
SR_IMDN_2_48,181605,tensorrt-nvdec-gl,3736.14,154.02,147.20,140.14
SR_IMDN_2_96,647091,tensorrt-nvdec-gl,3716.06,66.52,64.89,63.58
SR_RFDN_1_128,888599,tensorrt-nvdec-gl,3620.09,88.22,80.77,83.32
