model_name,params,runtype,480p decode,480p sr,480p e2e,480p fullSR_EDSR_2_52,832055,onnxruntime-directml,1732.29,68.37,64.79,58.43
SR_RFDN_2x_2_96,813228,onnxruntime-directml,1474.29,42.70,41.24,38.54
SR_RFDN_2x_4_128,2713100,onnxruntime-directml,1467.30,21.50,20.99,19.99
SR_RFDN_2x_4_16,44812,onnxruntime-directml,1484.62,112.18,100.57,87.43
SR_RFDN_2x_4_256,10808332,onnxruntime-directml,1483.95,8.29,8.26,8.18
SR_RFDN_2x_4_48,386700,onnxruntime-directml,1613.66,41.09,39.96,36.51
SR_RFDN_2x_4_52,453088,onnxruntime-directml,1726.42,27.08,26.60,25.19
SR_RFDN_2x_4_96,1530252,onnxruntime-directml,1755.53,25.93,25.46,24.05
SR_RFDN_2x_6_48,566364,onnxruntime-directml,1820.87,29.84,29.25,27.59
SR_RFDN_2x_6_52,663870,onnxruntime-directml,1775.55,19.23,18.93,18.26
SR_RFDN_2x_6_64,1002828,onnxruntime-directml,1748.92,32.87,32.04,30.37
SR_SRCNN_2x,20099,onnxruntime-directml,1788.6,0,0,0
SR_VDSR_2x_18_64,668227,onnxruntime-directml,1658.4,0,0,0
