model_name,params,LPIPS,SSIM,PSNR,Loss,FPS 720p,VRAM (MB) 720p,FPS 480p,VRAM (MB) 480p
SR_RFDN_4_256_GAN,10981207,0.0884,0.7585,25.2501,0.0347,,,,
SR_RFDN_4_48,419175,0.1627,0.7909,25.8985,0.0313,,,,
SR_RFDN_jpeg_2_128,1525591,0.1922,0.7775,25.1838,0.0336,,,,
SR_RFDN_jpeg_2_128_GAN,1525591,0.1250,0.7091,23.8148,0.0427,,,,
SR_RFDN_jpeg_2_256,5889623,0.1863,0.7774,25.0837,0.0339,,,,
SR_RFDN_jpeg_2_256_GAN,5889623,0.1245,0.7089,23.7473,0.0423,,,,
SR_RFDN_jpeg_4_128,2799575,0.2389,0.7679,25.3746,0.0336,,,,
SR_FastEDSR_4_256,4928343,0.1634,0.7925,25.9002,0.0311,,,,
SR_FastEDSR_6_256,7288663,0.1562,0.7906,25.8344,0.0312,,,,
nearest,0,0.1974,0.7467,25.2425,0.0335,,,,
bilinear,0,0.3068,0.7478,25.8613,0.0327,,,,
bicubic,0,0.2572,0.7710,26.0901,0.0316,,,,
lanczos,0,0.2864,0.7788,26.1479,0.0314,,,,
